Woche,Auto Leasing
2017-12-31,36
2018-01-07,40
2018-01-14,42
2018-01-21,45
2018-01-28,46
2018-02-04,44
2018-02-11,44
2018-02-18,47
2018-02-25,52
2018-03-04,46
2018-03-11,46
2018-03-18,44
2018-03-25,41
2018-04-01,41
2018-04-08,44
2018-04-15,40
2018-04-22,43
2018-04-29,42
2018-05-06,40
2018-05-13,43
2018-05-20,45
2018-05-27,44
2018-06-03,44
2018-06-10,47
2018-06-17,40
2018-06-24,40
2018-07-01,38
2018-07-08,43
2018-07-15,39
2018-07-22,40
2018-07-29,43
2018-08-05,42
2018-08-12,44
2018-08-19,43
2018-08-26,40
2018-09-02,45
2018-09-09,44
2018-09-16,42
2018-09-23,42
2018-09-30,49
2018-10-07,49
2018-10-14,44
2018-10-21,48
2018-10-28,43
2018-11-04,43
2018-11-11,43
2018-11-18,44
2018-11-25,41
2018-12-02,42
2018-12-09,42
2018-12-16,39
2018-12-23,44
2018-12-30,45
2019-01-06,55
2019-01-13,53
2019-01-20,55
2019-01-27,54
2019-02-03,88
2019-02-10,61
2019-02-17,57
2019-02-24,58
2019-03-03,56
2019-03-10,48
2019-03-17,47
2019-03-24,48
2019-03-31,45
2019-04-07,48
2019-04-14,49
2019-04-21,52
2019-04-28,46
2019-05-05,47
2019-05-12,47
2019-05-19,49
2019-05-26,45
2019-06-02,46
2019-06-09,47
2019-06-16,45
2019-06-23,46
2019-06-30,45
2019-07-07,48
2019-07-14,50
2019-07-21,50
2019-07-28,45
2019-08-04,52
2019-08-11,52
2019-08-18,51
2019-08-25,47
2019-09-01,52
2019-09-08,62
2019-09-15,59
2019-09-22,48
2019-09-29,48
2019-10-06,49
2019-10-13,50
2019-10-20,58
2019-10-27,54
2019-11-03,55
2019-11-10,55
2019-11-17,58
2019-11-24,54
2019-12-01,51
2019-12-08,45
2019-12-15,43
2019-12-22,44
2019-12-29,47
2020-01-05,55
2020-01-12,58
2020-01-19,57
2020-01-26,59
2020-02-02,59
2020-02-09,59
2020-02-16,59
2020-02-23,57
2020-03-01,56
2020-03-08,51
2020-03-15,30
2020-03-22,27
2020-03-29,35
2020-04-05,37
2020-04-12,42
2020-04-19,47
2020-04-26,48
2020-05-03,51
2020-05-10,56
2020-05-17,57
2020-05-24,56
2020-05-31,68
2020-06-07,69
2020-06-14,78
2020-06-21,68
2020-06-28,66
2020-07-05,66
2020-07-12,79
2020-07-19,76
2020-07-26,68
2020-08-02,68
2020-08-09,60
2020-08-16,69
2020-08-23,69
2020-08-30,65
2020-09-06,71
2020-09-13,66
2020-09-20,65
2020-09-27,63
2020-10-04,61
2020-10-11,64
2020-10-18,60
2020-10-25,54
2020-11-01,54
2020-11-08,62
2020-11-15,57
2020-11-22,59
2020-11-29,52
2020-12-06,44
2020-12-13,39
2020-12-20,43
2020-12-27,49
2021-01-03,56
2021-01-10,54
2021-01-17,52
2021-01-24,58
2021-01-31,59
2021-02-07,53
2021-02-14,65
2021-02-21,66
2021-02-28,77
2021-03-07,66
2021-03-14,70
2021-03-21,65
2021-03-28,63
2021-04-04,73
2021-04-11,67
2021-04-18,69
2021-04-25,64
2021-05-02,61
2021-05-09,71
2021-05-16,68
2021-05-23,63
2021-05-30,63
2021-06-06,64
2021-06-13,61
2021-06-20,72
2021-06-27,73
2021-07-04,77
2021-07-11,78
2021-07-18,77
2021-07-25,79
2021-08-01,77
2021-08-08,81
2021-08-15,85
2021-08-22,84
2021-08-29,84
2021-09-05,91
2021-09-12,82
2021-09-19,91
2021-09-26,86
2021-10-03,86
2021-10-10,100
2021-10-17,94
2021-10-24,98
2021-10-31,90
2021-11-07,77
2021-11-14,66
2021-11-21,62
2021-11-28,59
2021-12-05,66
2021-12-12,68
2021-12-19,65
2021-12-26,80
